Alabama ,0,,,,,
Alaska ,1,,,,,
Arizona ,0,,,,,
Arkansas,0,,,,,
California ,2,,,,,
Colorado,0,,,,,
Connecticut,0,,,,,
Delaware,0,,,,,
Florida,0,,,,,
Georgia ,0,,,,,
Hawaii,1,,,,,
Idaho,0,,,,,
Illinois,0,,,,,
Indiana,0,,,,,
Iowa ,1,,,,,
Kansas ,0,,,,,
Kentucky,0,,,,,
Louisiana,0,,,,,
Maine ,1,,,,,
Maryland,1,,,,,
Massachusetts,1,,,,,
Michigan,1,,,,,
Minnesota,1,,,,,
Mississippi,0,,,,,
Missouri,1,,,,,
Montana,0,,,,,
Nebraska ,1,,,,,
Nevada,0,,,,,
New Hampshire,2,,,,,
New Jersey,0,,,,,
New Mexico,0,,,,,
New York,1,,,,,
North Carolina ,0,,,,,
North Dakota,1,,,,,
Ohio,0,,,,,
Oklahoma,0,,,,,
Oregon,0,,,,,
Pennsylvania,0,,,,,
Rhode Island ,0,,,,,
South Carolina ,0,,,,,
South Dakota,0,,,,,
Tennessee,0,,,,,
Texas ,0,,,,,
Utah,0,,,,,
Vermont ,0,,,,,
Virginia,0,,,,,
Washington,2,,,,,
West Virginia,1,,,,,
Wisconsin,1,,,,,
Wyoming,0,,,,,
Alabama ,0,,,,,
Alaska ,1,,,,,
Arizona ,0,,,,,
Arkansas,0,,,,,
California ,2,,,,,
Colorado,0,,,,,
Connecticut,0,,,,,
Delaware,0,,,,,
Florida,0,,,,,
Georgia ,0,,,,,
Hawaii,1,,,,,
Idaho,0,,,,,
Illinois,0,,,,,
Indiana,0,,,,,
Iowa ,1,,,,,
Kansas ,0,,,,,
Kentucky,0,,,,,
Louisiana,0,,,,,
Maine ,1,,,,,
Maryland,1,,,,,
Massachusetts,1,,,,,
Michigan,1,,,,,
Minnesota,1,,,,,
Mississippi,0,,,,,
Missouri,1,,,,,
Montana,0,,,,,
Nebraska ,1,,,,,
Nevada,0,,,,,
New Hampshire,2,,,,,
New Jersey,0,,,,,
New Mexico,0,,,,,
New York,1,,,,,
North Carolina ,0,,,,,
North Dakota,1,,,,,
Ohio,0,,,,,
Oklahoma,0,,,,,
Oregon,0,,,,,
Pennsylvania,0,,,,,
Rhode Island ,0,,,,,
South Carolina ,0,,,,,
South Dakota,0,,,,,
Tennessee,0,,,,,
Texas ,0,,,,,
Utah,0,,,,,
Vermont ,0,,,,,
Virginia,0,,,,,
Washington,2,,,,,
West Virginia,1,,,,,
Wisconsin,1,,,,,
Wyoming,0,,,,,
Alabama ,0,,,,,
Alaska ,1,,,,,
Arizona ,0,,,,,
Arkansas,0,,,,,
California ,2,,,,,
Colorado,0,,,,,
Connecticut,0,,,,,
Delaware,0,,,,,
Florida,0,,,,,
Georgia ,0,,,,,
Hawaii,1,,,,,
Idaho,0,,,,,
Illinois,0,,,,,
Indiana,0,,,,,
Iowa ,1,,,,,
Kansas ,0,,,,,
Kentucky,0,,,,,
Louisiana,0,,,,,
Maine ,1,,,,,
Maryland,1,,,,,
Massachusetts,1,,,,,
Michigan,1,,,,,
Minnesota,1,,,,,
Mississippi,0,,,,,
Missouri,1,,,,,
Montana,0,,,,,
Nebraska ,1,,,,,
Nevada,0,,,,,
New Hampshire,2,,,,,
New Jersey,0,,,,,
New Mexico,0,,,,,
New York,1,,,,,
North Carolina ,0,,,,,
North Dakota,1,,,,,
Ohio,0,,,,,
Oklahoma,0,,,,,
Oregon,0,,,,,
Pennsylvania,0,,,,,
Rhode Island ,0,,,,,
South Carolina ,0,,,,,
South Dakota,0,,,,,
Tennessee,0,,,,,
Texas ,0,,,,,
Utah,0,,,,,
Vermont ,0,,,,,
Virginia,0,,,,,
Washington,2,,,,,
West Virginia,1,,,,,
Wisconsin,1,,,,,
Wyoming,0,,,,,
Alabama ,0,,,,,
Alaska ,1,,,,,
Arizona ,0,,,,,
Arkansas,0,,,,,
California ,2,,,,,
Colorado,0,,,,,
Connecticut,0,,,,,
Delaware,0,,,,,
Florida,0,,,,,
Georgia ,0,,,,,
Hawaii,1,,,,,
Idaho,0,,,,,
Illinois,0,,,,,
Indiana,0,,,,,
Iowa ,1,,,,,
Kansas ,0,,,,,
Kentucky,0,,,,,
Louisiana,0,,,,,
Maine ,1,,,,,
Maryland,1,,,,,
Massachusetts,1,,,,,
Michigan,1,,,,,
Minnesota,1,,,,,
Mississippi,0,,,,,
Missouri,1,,,,,
Montana,0,,,,,
Nebraska ,1,,,,,
Nevada,0,,,,,
New Hampshire,2,,,,,
New Jersey,0,,,,,
New Mexico,0,,,,,
New York,1,,,,,
North Carolina ,0,,,,,
North Dakota,1,,,,,
Ohio,0,,,,,
Oklahoma,0,,,,,
Oregon,0,,,,,
Pennsylvania,0,,,,,
Rhode Island ,0,,,,,
South Carolina ,0,,,,,
South Dakota,0,,,,,
Tennessee,0,,,,,
Texas ,0,,,,,
Utah,0,,,,,
Vermont ,0,,,,,
Virginia,0,,,,,
Washington,2,,,,,
West Virginia,1,,,,,
Wisconsin,1,,,,,
Wyoming,0,,,,,